donor	total_primary	total_secondary	secondary_to_primary	chenodeoxycholate	lithocholate	lithocholate_chenodeoxycholate	cholate	deoxycholate	deoxycholate_cholate	secondary_to_primary_rank	butyrate	isovalerate	propionate	butyrate_rank	isovalerate_rank	propionate_rank	avg_scfa_rank
aa	334637.0	37543130.0	112.19061251445596	184061.0	12237963.0	66.48862605331928	150576.0	25305167.0	168.05577914143024	83.0	282178200.0	404142340.0	0.0	61.0	82.0	1.0	48.0
ab	19465381.0	87420150.0	4.49105773989217	5392116.0	18310021.0	3.3957023550680288	14073265.0	69110129.0	4.910738837078673	15.0	673095277.0	247042347.0	3303224.0	83.0	74.0	20.0	59.0
ac	3960029.0	121167477.0	30.59762365376617	2515267.0	32769482.0	13.028231992865965	1444762.0	88397995.0	61.185160600846366	37.0	384704917.0	645391691.0	0.0	78.0	83.0	1.0	54.0
ad	1351986.0	41428909.0	30.643001480784566	330303.5	13652777.0	41.33403672682851	1021682.5	27776132.0	27.186657303027115	38.0	134973918.5	227609496.5	0.0	21.0	72.0	1.0	31.333333333333332
ae	7680949.6	47474293.800000004	6.180784443631814	2374302.0	12352527.6	5.202593267410801	5306647.6	35121766.2	6.618447058741946	18.0	353411777.2	178770944.2	293042.0	75.0	62.0	3.0	46.666666666666664
af	1388476.0	77402841.5	55.7466182346688	883491.5	17216828.5	19.487259922704407	504984.5	60186013.0	119.18388188152309	64.0	172989693.0	202700305.0	0.0	36.0	69.0	1.0	35.333333333333336
ag	677466.0	42441225.5	62.647019186202705	307176.0	12073442.0	39.30463968539209	370290.0	30367783.5	82.01081179615977	69.0	333219396.5	343986153.0	0.0	72.0	81.0	1.0	51.333333333333336
ah	468309.0	20466401.5	43.70277210132626	87196.0	8069207.0	92.54102252396899	381113.0	12397194.5	32.52892055637042	53.0	71342214.5	110951926.0	0.0	4.0	25.0	1.0	10.0
ai	1004140.0	70620126.0	70.32896408867289	188229.0	13725374.0	72.91848758692869	815911.0	56894752.0	69.73156631054123	72.0	196084009.0	303354142.0	0.0	42.0	79.0	1.0	40.666666666666664
aj	2527638.0	47666952.0	18.85829853800267	971894.0	9884100.0	10.169936227613299	1555744.0	37782852.0	24.286034206141885	30.0	335700517.0	55823242.0	5088072.0	73.0	6.0	22.0	33.666666666666664
ak	38302860.0	7431688.5	0.19402437572546802	6018576.5	1373001.0	0.2281271991807365	32284283.5	6058687.5	0.1876667791001154	1.0	144046915.0	63267581.0	2359576.5	26.0	9.0	17.0	17.333333333333332
al	4700062.0	89635716.0	19.071177358936968	1074806.0	17275044.0	16.072708935379968	3625256.0	72360672.0	19.96015508973711	31.0	390859167.0	103115091.0	1855904.0	79.0	20.0	14.0	37.666666666666664
am	10265012.666666666	58683704.222222224	5.716866225872709	2628931.3333333335	13853896.888888888	5.2697827110314615	7636081.333333333	44829807.333333336	5.870787040682822	17.0	321679850.1111111	129778578.77777778	6024932.777777778	68.0	41.0	23.0	44.0
an	7655172.714285715	32573188.142857146	4.255055941725604	1476807.0	7105556.857142857	4.8114322705288215	6178365.714285715	25467631.285714287	4.1220660063595185	13.0	354623744.85714287	93441535.14285715	1645999.7142857143	76.0	17.0	12.0	35.0
ao	29343269.5	19036440.166666664	0.6487497982004583	6210876.166666667	3616669.0	0.5823122057094628	23132393.333333332	15419771.166666666	0.6665877993889665	5.0	274513547.3333333	95120879.5	1248613.6666666667	60.0	18.0	10.0	29.333333333333332
ap	628627.0	21675237.0	34.48028322041529	117665.0	10614654.5	90.21080610206944	510962.0	11060582.5	21.646585264657645	42.0	107548330.0	127094343.5	0.0	9.0	39.0	1.0	16.333333333333332
