denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Ruminococcus	0.771444008	-4.44701652484	-3.36591489074	-4.34636797991	-1.0811016341	-1.40140000166	1.40140000166	0.0430107526882	0.766233766234	0.123595505618	-0.723223013546	0.723223013546	1	0
g__Enterococcus	1.58197429871	-2.2725417952	-4.26791035255	-2.23376432288	1.99536855735	1.26131540758	1.26131540758	0.784946236559	0.168831168831	0.719101123596	0.616115067728	0.616115067728	4	1
g__Faecalibacterium	1.43546392412	-3.72499769269	-1.71773552074	-3.5164417813	-2.00726217195	-1.39833689877	1.39833689877	0.333333333333	0.935064935065	0.438202247191	-0.601731601732	0.601731601732	2	2
g__Lachnospiracea_incertae_sedis	1.35100814125	-3.79767924233	-1.78058781803	-3.68664588664	-2.0170914243	-1.49302684619	1.49302684619	0.387096774194	0.961038961039	0.359550561798	-0.573942186845	0.573942186845	0	3
g__Clostridium_IV	1.00167606861	-3.84693890201	-2.58344445949	-3.69765415175	-1.26349444253	-1.26138028263	1.26138028263	0.387096774194	0.961038961039	0.460674157303	-0.573942186845	0.573942186845	3	4
g__Roseburia	1.15194412806	-3.81941813125	-2.45376819862	-3.92222695295	-1.36564993263	-1.1855175085	1.1855175085	0.354838709677	0.922077922078	0.314606741573	-0.567239212401	0.567239212401	5	5
g__Dorea	1.04880431987	-3.84462375643	-2.73791603862	-3.95485562243	-1.10670771781	-1.05520896209	1.05520896209	0.344086021505	0.909090909091	0.303370786517	-0.565004887586	0.565004887586	9	6
g__Anaerovorax	0.702417386407	-4.34177373558	-3.66609294782	-4.14179098153	-0.675680787757	-0.961936308571	0.961936308571	0.10752688172	0.655844155844	0.213483146067	-0.548317274124	0.548317274124	13	7
g__Oscillibacter	1.05202715075	-3.72658353786	-2.48783600415	-3.48140856112	-1.23874753371	-1.17748627763	1.17748627763	0.408602150538	0.954545454545	0.52808988764	-0.545943304008	0.545943304008	6	8
g__Gemmiger	1.06073079876	-4.04211741943	-3.06215097103	-4.03249533138	-0.979966448397	-0.923859710253	0.923859710253	0.204301075269	0.74025974026	0.23595505618	-0.535958664991	0.535958664991	14	9
g__Odoribacter	1.22188500589	-4.04210847119	-2.75688356304	-3.92687250491	-1.28522490815	-1.05183785868	1.05183785868	0.215053763441	0.714285714286	0.280898876404	-0.499231950845	0.499231950845	10	10
g__Ethanoligenens	0.685946409721	-4.35755859807	-3.67367161529	-4.37610500423	-0.683886982775	-0.996997685364	0.996997685364	0.10752688172	0.590909090909	0.112359550562	-0.483382209189	0.483382209189	12	11
g__Butyricicoccus	0.852483869493	-3.81263961956	-3.21409345959	-3.8246838488	-0.598546159975	-0.70212021763	0.70212021763	0.397849462366	0.876623376623	0.415730337079	-0.478773914258	0.478773914258	22	12
g__Clostridium_XlVb	0.903338231386	-3.8617654092	-3.33304063199	-3.73078892918	-0.528724777215	-0.585301007801	0.585301007801	0.322580645161	0.792207792208	0.415730337079	-0.469627147047	0.469627147047	32	13
g__Lactobacillus	1.20995711544	-2.86369234223	-4.15250480493	-3.19806591874	1.28881246271	1.06517201829	1.06517201829	0.698924731183	0.24025974026	0.629213483146	0.458664990923	0.458664990923	8	14
g__Anaerostipes	1.01930356319	-3.57016195256	-2.5178904072	-3.6626438128	-1.05227154536	-1.03234363478	1.03234363478	0.505376344086	0.954545454545	0.483146067416	-0.449169110459	0.449169110459	11	15
g__Parasutterella	1.10872082756	-4.15401006044	-3.18615671043	-4.02117662409	-0.967853350008	-0.872945944505	0.872945944505	0.182795698925	0.616883116883	0.224719101124	-0.434087417958	0.434087417958	17	16
g__Flavonifractor	0.71422350871	-4.06135323177	-3.57597165321	-4.10804218422	-0.485381578562	-0.679593394285	0.679593394285	0.301075268817	0.727272727273	0.269662921348	-0.426197458456	0.426197458456	24	17
g__Coprococcus	1.08487943481	-3.55096419575	-2.58560400678	-3.85203027175	-0.965360188966	-0.889831771156	0.889831771156	0.494623655914	0.909090909091	0.359550561798	-0.414467253177	0.414467253177	15	18
g__Alistipes	1.43181265256	-3.21832082625	-1.68682680782	-2.80029892072	-1.53149401843	-1.06961900057	1.06961900057	0.516129032258	0.909090909091	0.651685393258	-0.392961876833	0.392961876833	7	19
g__Barnesiella	1.33640625419	-4.12652375598	-2.9393451203	-3.87094601177	-1.18717863568	-0.888336635628	0.888336635628	0.182795698925	0.558441558442	0.303370786517	-0.375645859517	0.375645859517	16	20
g__Ruminococcus2	1.10593769818	-2.79289443075	-2.17438421294	-2.85956538278	-0.618510217813	-0.559263165393	0.559263165393	0.677419354839	0.980519480519	0.651685393258	-0.303100125681	0.303100125681	35	21
g__Butyricimonas	1.04911511239	-4.16729362717	-3.4535327382	-4.05664889734	-0.71376088897	-0.680345636564	0.680345636564	0.182795698925	0.474025974026	0.213483146067	-0.291230275101	0.291230275101	23	22
g__Turicibacter	0.705611279617	-4.20367544383	-3.82263054511	-4.34920186016	-0.381044898726	-0.54002098568	0.54002098568	0.204301075269	0.493506493506	0.0898876404494	-0.289205418238	0.289205418238	38	23
g__Fusobacterium	0.752997628781	-3.82464962612	-4.44685405838	-4.19639859495	0.622204432261	0.826303308907	0.826303308907	0.311827956989	0.0454545454545	0.179775280899	0.266373411535	0.266373411535	19	24
g__Tetragenococcus	0.523051167324	-4.05447432475	-4.44540575062	-4.20234396773	0.390931425864	0.747405703852	0.747405703852	0.311827956989	0.0584415584416	0.224719101124	0.253386398548	0.253386398548	20	25
g__Parabacteroides	1.32826551473	-2.66816361135	-1.8091571191	-2.82912671581	-0.859006492248	-0.646712937077	0.646712937077	0.666666666667	0.909090909091	0.651685393258	-0.242424242424	0.242424242424	29	26
