denovo	std	CRC_logabun	H_logabun	nonCRC_logabun	delta_logabun	snr	abs_snr	CRC_presence	H_presence	nonCRC_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Porphyromonas	1.09694973702	-4.42426521835	-5.43471872451	-5.30565581525	1.01045350616	0.921148410046	0.921148410046	0.416666666667	0.127906976744	0.191919191919	0.288759689922	0.288759689922	0	0
g__Parvimonas	0.709133012717	-4.96351073772	-5.59047646444	-5.52782464203	0.626965726719	0.884129938214	0.884129938214	0.308333333333	0.046511627907	0.0858585858586	0.261821705426	0.261821705426	2	1
g__Collinsella	1.64178860292	-2.80631757456	-3.5344529376	-3.27905976165	0.728135363043	0.443501289843	0.443501289843	0.883333333333	0.633720930233	0.722222222222	0.249612403101	0.249612403101	6	2
g__Fusobacterium	0.944767573541	-4.77600032134	-5.42855569409	-5.35912935862	0.652555372754	0.690704667507	0.690704667507	0.358333333333	0.116279069767	0.156565656566	0.242054263566	0.242054263566	3	3
g__Peptostreptococcus	0.654032006842	-5.03573304736	-5.61471343422	-5.59940383967	0.578980386864	0.885247787274	0.885247787274	0.266666666667	0.0290697674419	0.0454545454545	0.237596899225	0.237596899225	1	4
g__Anaerococcus	0.539954124269	-5.29895291888	-5.59945037341	-5.56853709291	0.300497454536	0.556524047191	0.556524047191	0.191666666667	0.0348837209302	0.0555555555556	0.156782945736	0.156782945736	4	5
g__Enterobacter	1.16252528886	-4.6756607666	-5.12666211416	-5.10571763611	0.451001347559	0.387949709036	0.387949709036	0.383333333333	0.238372093023	0.252525252525	0.14496124031	0.14496124031	8	6
g__Eubacterium	1.20260879033	-4.15948424672	-4.48650848542	-4.39847319243	0.327024238704	0.271929027405	0.271929027405	0.65	0.511627906977	0.585858585859	0.138372093023	0.138372093023	24	7
g__Methanobrevibacter	1.72887713671	-3.67987818692	-4.25685130144	-3.87959971925	0.576973114524	0.333727077692	0.333727077692	0.616666666667	0.482558139535	0.575757575758	0.134108527132	0.134108527132	16	8
g__Lachnobacterium	0.661568598503	-5.53895616786	-5.3018799476	-5.38934584952	-0.237076220259	-0.358354705462	0.358354705462	0.075	0.203488372093	0.156565656566	-0.128488372093	0.128488372093	13	9
g__Catenibacterium	0.968836258409	-5.14968424529	-5.47469805004	-5.35698374879	0.325013804744	0.335468250619	0.335468250619	0.183333333333	0.0581395348837	0.10101010101	0.12519379845	0.12519379845	15	10
g__Desulfovibrio	1.37428137471	-4.53271418201	-4.86321671904	-4.66333756796	0.330502537031	0.240491170959	0.240491170959	0.425	0.302325581395	0.358585858586	0.122674418605	0.122674418605	28	11
g__Hespellia	1.23793558533	-3.79248907747	-4.06626374777	-3.93224812047	0.273774670297	0.221154213144	0.221154213144	0.75	0.627906976744	0.681818181818	0.122093023256	0.122093023256	37	12
g__Eggerthella	1.09137521507	-4.61968489718	-4.87352963622	-4.78622942564	0.253844739039	0.232591628923	0.232591628923	0.5	0.377906976744	0.419191919192	0.122093023256	0.122093023256	30	13
g__Peptoniphilus	0.536302342909	-5.3026441593	-5.57882971255	-5.56209541713	0.276185553253	0.514981067871	0.514981067871	0.183333333333	0.0639534883721	0.0656565656566	0.119379844961	0.119379844961	5	14
g__Dialister	1.5872232245	-4.15563619747	-4.26768998664	-4.30314711517	0.112053789174	0.0705973724706	0.0705973724706	0.558333333333	0.441860465116	0.479797979798	0.116472868217	0.116472868217	111	15
g__Gemella	0.949167989152	-4.88742851829	-5.24434917398	-5.03705104179	0.356920655691	0.376035285398	0.376035285398	0.35	0.238372093023	0.328282828283	0.111627906977	0.111627906977	11	16
g__Howardella	1.03175851199	-5.04501768216	-5.28959342706	-5.15334860755	0.244575744903	0.237047469987	0.237047469987	0.25	0.139534883721	0.20202020202	0.110465116279	0.110465116279	29	17
g__Haemophilus	1.41341186685	-4.80103343495	-4.31913717645	-4.28379019848	-0.481896258501	-0.340945388817	0.340945388817	0.391666666667	0.5	0.520202020202	-0.108333333333	0.108333333333	14	18
g__Cloacibacillus	1.10790077807	-4.92118980989	-5.20897663417	-5.12249319664	0.287786824276	0.259758662484	0.259758662484	0.3	0.191860465116	0.217171717172	0.108139534884	0.108139534884	25	19
g__Staphylococcus	0.507857355661	-5.4047879852	-5.59185291181	-5.52872424671	0.187064926613	0.368341473304	0.368341473304	0.141666666667	0.0406976744186	0.0808080808081	0.100968992248	0.100968992248	12	20
g__Lactobacillus	1.29176357561	-4.29156951324	-4.57354169662	-4.51260300101	0.281972183385	0.218284668114	0.218284668114	0.583333333333	0.482558139535	0.489898989899	0.100775193798	0.100775193798	39	21
g__Oxalobacter	0.787704261529	-5.20003223139	-5.35433247535	-5.34301320267	0.154300243962	0.195886008871	0.195886008871	0.241666666667	0.145348837209	0.171717171717	0.0963178294574	0.0963178294574	47	22
g__Acidaminococcus	1.37895384378	-4.6307587146	-4.91891183927	-4.7913996003	0.28815312467	0.208965025168	0.208965025168	0.383333333333	0.290697674419	0.318181818182	0.0926356589147	0.0926356589147	43	23
g__Sporobacter	1.24828678402	-3.13772843516	-3.36699936159	-3.28561764962	0.229270926432	0.183668472156	0.183668472156	0.875	0.78488372093	0.833333333333	0.0901162790698	0.0901162790698	51	24
g__Enterorhabdus	1.04233288793	-5.0205258441	-5.25387301089	-5.26872207564	0.233347166799	0.223870098987	0.223870098987	0.25	0.162790697674	0.146464646465	0.0872093023256	0.0872093023256	35	25
g__Actinomyces	1.10033899489	-4.18641153798	-4.36735963273	-4.39559710827	0.180948094758	0.164447588969	0.164447588969	0.691666666667	0.604651162791	0.59595959596	0.087015503876	0.087015503876	57	26
g__Barnesiella	1.47477968653	-3.38691427498	-3.61875975635	-3.29836131593	0.23184548137	0.157206858413	0.157206858413	0.783333333333	0.697674418605	0.792929292929	0.0856589147287	0.0856589147287	63	27
g__Campylobacter	0.605732239077	-5.35653059739	-5.53065228944	-5.49456440808	0.174121692045	0.287456537414	0.287456537414	0.158333333333	0.0755813953488	0.0858585858586	0.0827519379845	0.0827519379845	19	28
g__Bilophila	1.34593256306	-3.7769869788	-4.08506675211	-4.02504458163	0.308079773311	0.22889688664	0.22889688664	0.691666666667	0.610465116279	0.636363636364	0.0812015503876	0.0812015503876	33	29
g__Parasutterella	1.38838881672	-4.3343287195	-4.44469710346	-4.46414789106	0.110368383967	0.0794938583761	0.0794938583761	0.533333333333	0.453488372093	0.469696969697	0.0798449612403	0.0798449612403	102	30
g__Victivallis	0.446707785805	-5.45010361378	-5.62556857753	-5.59446497557	0.175464963758	0.392795848504	0.392795848504	0.1	0.0232558139535	0.040404040404	0.0767441860465	0.0767441860465	7	31
g__Alloprevotella	0.682053681959	-5.40558399069	-5.59663212358	-5.5123533476	0.191048132887	0.280107179157	0.280107179157	0.1	0.0232558139535	0.0505050505051	0.0767441860465	0.0767441860465	22	32
g__Peptococcus	0.915402885522	-5.23545393836	-5.43210402996	-5.26353516286	0.196650091601	0.214823543503	0.214823543503	0.175	0.0988372093023	0.161616161616	0.0761627906977	0.0761627906977	42	33
g__Pseudomonas	1.15135470629	-3.97547445441	-3.98944275682	-3.8967265751	0.0139683024118	0.0121320582923	0.0121320582923	0.766666666667	0.691860465116	0.752525252525	0.0748062015504	0.0748062015504	156	34
g__Streptococcus	0.986435566895	-2.94897213551	-2.69448814893	-2.72150193846	-0.254483986578	-0.257983384945	0.257983384945	0.891666666667	0.96511627907	0.944444444444	-0.0734496124031	0.0734496124031	26	35
g__Clostridium_XII	0.630126961496	-5.33729642158	-5.47593269155	-5.40009896703	0.13863626997	0.220013232954	0.220013232954	0.183333333333	0.110465116279	0.161616161616	0.0728682170543	0.0728682170543	38	36
g__Rothia	0.830656151363	-5.14402442854	-5.2501376407	-5.14363070061	0.106113212157	0.127746254552	0.127746254552	0.308333333333	0.238372093023	0.282828282828	0.0699612403101	0.0699612403101	73	37
g__Clostridium_III	1.29754686827	-4.40932069096	-4.47644272519	-4.48316393166	0.0671220342309	0.0517299497014	0.0517299497014	0.533333333333	0.46511627907	0.474747474747	0.0682170542636	0.0682170542636	128	38
