denovo	std	IBD_logabun	nonIBD_logabun	delta_logabun	snr	abs_snr	IBD_presence	nonIBD_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Alistipes	1.086348573262785	-3.386114869678321	-2.035502924607037	-1.3506119450712841	-1.2432583595289306	1.2432583595289306	0.26865671641791045	0.9166666666666666	-0.6480099502487562	0.6480099502487562	0	0
g__Clostridium_IV	0.8553809574513779	-3.4261208863722654	-2.4739238790390274	-0.952197007333238	-1.113184714995673	1.113184714995673	0.34328358208955223	0.875	-0.5317164179104478	0.5317164179104478	2	1
g__Oscillibacter	0.773514373701529	-3.410438857349065	-2.7197036129723684	-0.6907352443766968	-0.892983075506786	0.892983075506786	0.3582089552238806	0.8333333333333334	-0.4751243781094528	0.4751243781094528	4	2
g__Butyricicoccus	0.796034353395316	-3.41681656378523	-2.866113195497608	-0.5507033682876221	-0.6918085456220746	0.6918085456220746	0.31343283582089554	0.75	-0.43656716417910446	0.43656716417910446	11	3
g__Gemmiger	1.0460001308065392	-3.012283613131706	-1.8434425488796842	-1.1688410642520217	-1.1174387362177132	1.1174387362177132	0.5223880597014925	0.9583333333333334	-0.4359452736318409	0.4359452736318409	1	4
g__Parabacteroides	1.1545955421197134	-3.09881143202021	-2.1284869389421255	-0.9703244930780843	-0.8404020782001919	0.8404020782001919	0.40298507462686567	0.8333333333333334	-0.4303482587064677	0.4303482587064677	5	5
g__Escherichia/Shigella	1.297952025512875	-2.2626997527056156	-3.4469191859881696	1.184219433282554	0.912375349785844	0.912375349785844	0.7014925373134329	0.2916666666666667	0.4098258706467662	0.4098258706467662	3	6
g__Cronobacter	0.72667715402712	-3.3300734320410275	-3.9164539485499255	0.586380516508898	0.8069340191297854	0.8069340191297854	0.40298507462686567	0.0	0.40298507462686567	0.40298507462686567	6	7
g__Ruminococcus2	0.9029868931108003	-3.0187127350576763	-2.3295732526328288	-0.6891394824248476	-0.763177724596593	0.763177724596593	0.5671641791044776	0.9166666666666666	-0.34950248756218905	0.34950248756218905	8	8
g__Anaerostipes	0.8039972178482779	-3.20779164308097	-2.9178484456472487	-0.28994319743372143	-0.36062711536451675	0.36062711536451675	0.47761194029850745	0.7916666666666666	-0.3140547263681592	0.3140547263681592	33	9
g__Odoribacter	0.6285151328710878	-3.7081864470895636	-3.244930874292983	-0.4632555727965806	-0.7370635145734781	0.7370635145734781	0.14925373134328357	0.4583333333333333	-0.30907960199004975	0.30907960199004975	9	10
g__Phascolarctobacterium	1.0065059281713185	-3.526547688784243	-2.7858399189377887	-0.7407077698464541	-0.7359199276572741	0.7359199276572741	0.19402985074626866	0.5	-0.30597014925373134	0.30597014925373134	10	11
g__Flavonifractor	0.8879401657555621	-3.215155876890345	-2.6316715591596225	-0.5834843177307225	-0.6571212118039808	0.6571212118039808	0.4626865671641791	0.75	-0.2873134328358209	0.2873134328358209	12	12
g__Ruminococcus	0.804060079552171	-3.6180690710136885	-3.1418419519868643	-0.47622711902682413	-0.5922780288906563	0.5922780288906563	0.1791044776119403	0.4583333333333333	-0.279228855721393	0.279228855721393	15	13
g__Haemophilus	0.8972738892783717	-3.0520414827264077	-3.5913195465796455	0.5392780638532377	0.6010183404388927	0.6010183404388927	0.5223880597014925	0.25	0.2723880597014925	0.2723880597014925	14	14
g__Subdoligranulum	0.3594157247616107	-3.8919128990600522	-3.6091888176722158	-0.28272408138783645	-0.7866213465628377	0.7866213465628377	0.029850746268656716	0.25	-0.22014925373134328	0.22014925373134328	7	15
g__Faecalibacterium	1.3810562134839848	-1.821899487921858	-1.3362187252800821	-0.48568076264177584	-0.3516734206036053	0.3516734206036053	0.7014925373134329	0.9166666666666666	-0.21517412935323377	0.21517412935323377	35	16
g__Lachnospiracea_incertae_sedis	1.1314897402912707	-2.7752893053253738	-2.2178622002243027	-0.5574271051010711	-0.4926488374146255	0.4926488374146255	0.5522388059701493	0.75	-0.1977611940298507	0.1977611940298507	20	17
g__Fusobacterium	0.6007979071850208	-3.6098362221377265	-3.9164539485499255	0.306617726412199	0.5103508563284217	0.5103508563284217	0.19402985074626866	0.0	0.19402985074626866	0.19402985074626866	19	18
g__Bifidobacterium	1.0192944141512459	-2.8866350017745157	-2.6415493870375673	-0.24508561473694845	-0.24044634340611812	0.24044634340611812	0.5671641791044776	0.75	-0.18283582089552242	0.18283582089552242	48	19
g__Bacteroides	1.3269490912100994	-1.4578348960383305	-0.8978624055906622	-0.5599724904476683	-0.42199998037378084	0.42199998037378084	0.7761194029850746	0.9583333333333334	-0.18221393034825872	0.18221393034825872	24	20
g__Clostridium_XlVa	0.8918694313633189	-2.167830616843311	-1.6064326065920544	-0.5613980102512566	-0.6294621056729112	0.6294621056729112	0.8208955223880597	1.0	-0.17910447761194026	0.17910447761194026	13	21
