denovo	std	H_logabun	OB_logabun	OW_logabun	delta_logabun	snr	abs_snr	H_presence	OB_presence	OW_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Anaerofilum	0.651263059299	-4.56052839988	-4.74302346476	-4.55441984779	-0.182495064875	-0.280217129268	0.280217129268	0.591121495327	0.432432432432	0.58934169279	-0.158689062895	0.158689062895	7	0
g__Streptococcus	1.00693518705	-4.20251312018	-3.89423258317	-4.12838029897	0.308280537006	0.306157279008	0.306157279008	0.623831775701	0.756756756757	0.667711598746	0.132924981056	0.132924981056	2	1
g__Mogibacterium	0.920616177731	-4.34012215567	-4.58179143109	-4.33499015003	-0.241669275422	-0.262508177966	0.262508177966	0.581775700935	0.459459459459	0.608150470219	-0.122316241475	0.122316241475	11	2
g__Lachnobacterium	0.669839009826	-4.70328901841	-4.86374816666	-4.77854268352	-0.160459148253	-0.239548825762	0.239548825762	0.460280373832	0.345945945946	0.388714733542	-0.114334427886	0.114334427886	15	3
g__Anaerovorax	0.821103794186	-4.42561363093	-4.63346149913	-4.45852864728	-0.207847868201	-0.253132271063	0.253132271063	0.553738317757	0.443243243243	0.542319749216	-0.110495074514	0.110495074514	13	4
g__Sporobacter	1.04294122796	-2.80257802105	-3.22044237025	-2.8777652312	-0.417864349205	-0.400659536706	0.400659536706	0.932242990654	0.827027027027	0.909090909091	-0.105215963627	0.105215963627	0	5
g__Robinsoniella	0.353662996026	-5.13396968708	-5.24202922866	-5.1526116963	-0.108059541581	-0.305543816558	0.305543816558	0.135514018692	0.0378378378378	0.12539184953	-0.0976761808538	0.0976761808538	3	6
g__Coprobacillus	0.729815232526	-4.95507172361	-4.84986010677	-4.86774560168	0.105211616846	0.144161990813	0.144161990813	0.198598130841	0.291891891892	0.260188087774	0.0932937610508	0.0932937610508	47	7
g__Pseudoflavonifractor	0.730493017729	-3.92221993054	-4.12935786424	-4.01298144335	-0.207137933692	-0.283559087719	0.283559087719	0.838785046729	0.756756756757	0.82131661442	-0.0820282899722	0.0820282899722	6	8
g__Lactonifactor	0.508038837455	-5.06573241394	-4.94203195896	-4.98102393872	0.123700454983	0.243486217712	0.243486217712	0.203271028037	0.281081081081	0.263322884013	0.0778100530437	0.0778100530437	14	9
g__Anaerosporobacter	0.883324624486	-3.79345273374	-3.95771231842	-3.81861053725	-0.16425958468	-0.185956080162	0.185956080162	0.817757009346	0.740540540541	0.824451410658	-0.0772164688053	0.0772164688053	29	10
g__Butyricimonas	1.05242364454	-3.91118559928	-4.11716512106	-3.97508285079	-0.205979521777	-0.195719207607	0.195719207607	0.682242990654	0.605405405405	0.664576802508	-0.0768375852488	0.0768375852488	26	11
g__Methanobrevibacter	1.38286598936	-3.85724872455	-4.23275472672	-4.00372108083	-0.37550600217	-0.271541859485	0.271541859485	0.572429906542	0.497297297297	0.53605015674	-0.0751326092448	0.0751326092448	9	12
g__Gemella	0.538775939066	-5.02245246956	-4.92997610419	-4.90665978209	0.0924763653733	0.171641602135	0.171641602135	0.235981308411	0.308108108108	0.326018808777	0.0721267996969	0.0721267996969	36	13
g__Holdemania	0.706507677257	-4.61902619946	-4.51246146386	-4.64503972055	0.1065647356	0.150833089336	0.150833089336	0.507009345794	0.578378378378	0.492163009404	0.071369032584	0.071369032584	45	14
g__Gordonibacter	0.691546391458	-4.82445824506	-4.70486342754	-4.75645255183	0.119594817518	0.172938242459	0.172938242459	0.36214953271	0.432432432432	0.401253918495	0.0702828997222	0.0702828997222	34	15
g__Desulfovibrio	1.26440852545	-4.1322229127	-4.35861465545	-4.14505196565	-0.22639174275	-0.179049522518	0.179049522518	0.495327102804	0.427027027027	0.514106583072	-0.0683000757767	0.0683000757767	32	16
g__Defluviitalea	0.660347238908	-4.93912965229	-5.0919968788	-4.98013765815	-0.152867226516	-0.231495215712	0.231495215712	0.203271028037	0.135135135135	0.197492163009	-0.0681358929022	0.0681358929022	17	17
g__Acetivibrio	0.46589203602	-5.09686707236	-5.18438799632	-5.13073432618	-0.0875209239685	-0.187856664639	0.187856664639	0.13785046729	0.0702702702703	0.112852664577	-0.0675801970194	0.0675801970194	28	18
