study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB9150	SAMEA3360583	ERS714035	ERX946115	ERR866487	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866487/ERR866487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866487/ERR866487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866487/ERR866487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866487/ERR866487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC1.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC1.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC1.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC1.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866487	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866487		
PRJEB9150	SAMEA3360587	ERS714039	ERX946116	ERR866488	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866488/ERR866488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866488/ERR866488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866488/ERR866488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866488/ERR866488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC10.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC10.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC10.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC10.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866488	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866488		
PRJEB9150	SAMEA3360588	ERS714040	ERX946117	ERR866489	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866489/ERR866489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866489/ERR866489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866489/ERR866489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866489/ERR866489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC11.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC11.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC11.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC11.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866489	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866489		
PRJEB9150	SAMEA3360594	ERS714046	ERX946118	ERR866490	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866490/ERR866490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866490/ERR866490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866490/ERR866490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866490/ERR866490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC12.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC12.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC12.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC12.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866490	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866490		
PRJEB9150	SAMEA3360595	ERS714047	ERX946119	ERR866491	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866491/ERR866491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866491/ERR866491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866491/ERR866491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866491/ERR866491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC13.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC13.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC13.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC13.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866491	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866491		
PRJEB9150	SAMEA3360596	ERS714048	ERX946120	ERR866492	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866492/ERR866492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866492/ERR866492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866492/ERR866492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866492/ERR866492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC14.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC14.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC14.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC14.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866492	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866492		
PRJEB9150	SAMEA3360597	ERS714049	ERX946121	ERR866493	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866493/ERR866493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866493/ERR866493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866493/ERR866493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866493/ERR866493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC15.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC15.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC15.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC15.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866493	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866493		
PRJEB9150	SAMEA3360598	ERS714050	ERX946122	ERR866494	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866494/ERR866494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866494/ERR866494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866494/ERR866494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866494/ERR866494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC16.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC16.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC16.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC16.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866494	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866494		
PRJEB9150	SAMEA3360599	ERS714051	ERX946123	ERR866495	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866495/ERR866495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866495/ERR866495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866495/ERR866495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866495/ERR866495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC17.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC17.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC17.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC17.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866495	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866495		
PRJEB9150	SAMEA3360600	ERS714052	ERX946124	ERR866496	408170	human gut metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866496/ERR866496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866496/ERR866496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866496/ERR866496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866496/ERR866496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC18.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC18.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC18.fwd.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA434/ERA434137/fastq/ETEC18.rev.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866496	ftp.sra.ebi.ac.uk/vol1/err/ERR866/ERR866496		
