study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6358	SAMEA2554852	ERS465237	ERX485582	ERR520347	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520347/ERR520347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520347/ERR520347.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520347	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520347		
PRJEB6358	SAMEA2554853	ERS465238	ERX485583	ERR520348	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520348/ERR520348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520348/ERR520348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520348	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520348		
PRJEB6358	SAMEA2554854	ERS465239	ERX485584	ERR520349	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520349/ERR520349.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520349/ERR520349.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520349	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520349		
PRJEB6358	SAMEA2554855	ERS465240	ERX485585	ERR520350	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520350/ERR520350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520350/ERR520350.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520350	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520350		
PRJEB6358	SAMEA2554856	ERS465241	ERX485586	ERR520351	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520351/ERR520351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520351/ERR520351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520351	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520351		
PRJEB6358	SAMEA2554857	ERS465242	ERX485587	ERR520352	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520352/ERR520352.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520352/ERR520352.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d11.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d11.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520352	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520352		
PRJEB6358	SAMEA2554858	ERS465243	ERX485588	ERR520353	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520353/ERR520353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520353/ERR520353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520353	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520353		
PRJEB6358	SAMEA2554859	ERS465244	ERX485589	ERR520354	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520354/ERR520354.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520354/ERR520354.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d13.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d13.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520354	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520354		
PRJEB6358	SAMEA2554860	ERS465245	ERX485590	ERR520355	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520355/ERR520355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520355/ERR520355.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d14.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d14.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520355	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520355		
PRJEB6358	SAMEA2554861	ERS465246	ERX485591	ERR520356	410661	mouse gut metagenome	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520356/ERR520356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR520/ERR520356/ERR520356.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d15.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA315/ERA315006/fastq/D1invasion.m1.d15.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520356	ftp.sra.ebi.ac.uk/vol1/err/ERR520/ERR520356		
