sample-id,absolute-filepath,direction
Bgsng7178.m25_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7178.m25_run1_R1.fastq.gz,forward
G.recovery.d051_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/G.recovery.d051_run1_R1.fastq.gz,forward
B.diarrhea.054_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/B.diarrhea.054_run1_R2.fastq.gz,reverse
Bgsng7202.m26_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7202.m26_run1_R1.fastq.gz,forward
Bgsng7106.m29_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7106.m29_run1_R2.fastq.gz,reverse
Bgsng7035.m29_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7035.m29_run1_R1.fastq.gz,forward
Bgsng7131.m25_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7131.m25_run1_R1.fastq.gz,forward
G.recovery.d004_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/G.recovery.d004_run1_R2.fastq.gz,reverse
D.recovery.d016_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/D.recovery.d016_run1_R2.fastq.gz,reverse
Bgsng7178.m27_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7178.m27_run1_R2.fastq.gz,reverse
Bgsng7202.m30_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7202.m30_run1_R2.fastq.gz,reverse
E.diarrhea.053_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/E.diarrhea.053_run1_R1.fastq.gz,forward
Bgsng7150.m36_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7150.m36_run1_R2.fastq.gz,reverse
D.recovery.d005_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/D.recovery.d005_run1_R1.fastq.gz,forward
Bgsng7114.m35_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7114.m35_run1_R1.fastq.gz,forward
Bgsng7018.m27_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7018.m27_run1_R2.fastq.gz,reverse
Bgsng7114.m27_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7114.m27_run1_R2.fastq.gz,reverse
F.diarrhea.022_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/F.diarrhea.022_run1_R1.fastq.gz,forward
F.diarrhea.end_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/F.diarrhea.end_run1_R2.fastq.gz,reverse
Bgsng7155.m34_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7155.m34_run1_R1.fastq.gz,forward
A.diarrhea.102_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/A.diarrhea.102_run1_R1.fastq.gz,forward
Bgsng7142.m25_run1,/home/ubuntu/users/duvallet/data/cholera/hsiao/raw_data/Bgsng7142.m25_run1_R2.fastq.gz,reverse
