study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA388210	SRP108284	SAMN07173004	SRS2240022	SRX2869649	SRR5629088	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.001.Donor.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	97464	48732000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.001.Donor.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.001.Donor.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.001.Donor.Pool253.Integrated.2.fq.bz2	10382567;12272573	d32c80b01bffcad68479558380a63a01;808e914b38af84f7acd717e8ea45bfa5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/008/SRR5629088/SRR5629088_2.fastq.gz							28809390	f25b89a0a24795b6e9cfa96443f08d10	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/008/SRR5629088	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/008/SRR5629088	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/008/SRR5629088				Longman.FMT.001.Donor.Pool253.Integrated		Longman.FMT.001.Donor.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173005	SRS2240021	SRX2869648	SRR5629089	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.007.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	92294	46147000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.007.W2.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.007.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.007.W2.Pool253.Integrated.1.fq.bz2	9533065;11503409	63bad7ba57044c8d629db65c4236fe10;94df6fcb8f8990060ed7053ddef84952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/009/SRR5629089/SRR5629089_2.fastq.gz							27280738	3bf3ade5cecbbef0849089b12a259613	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/009/SRR5629089	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/009/SRR5629089	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/009/SRR5629089				Longman.FMT.007.W2.Pool253.Integrated		Longman.FMT.007.W2.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173020	SRS2240020	SRX2869647	SRR5629090	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.002.Donor.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	89336	44668000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.002.Donor.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.002.Donor.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.002.Donor.Pool253.Integrated.2.fq.bz2	9232939;11100127	776dab20d236ad817403554ff1f7cc57;f3cfde726295db5a20ca12c4984721de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/000/SRR5629090/SRR5629090_2.fastq.gz							25876206	32cb7de21c67bd9bd2a32cf4bca24d73	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/000/SRR5629090	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/000/SRR5629090	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/000/SRR5629090				Longman.FMT.002.Donor.Pool253.Integrated		Longman.FMT.002.Donor.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173021	SRS2240019	SRX2869646	SRR5629091	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.005.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	102642	51321000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.005.W2.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.005.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.005.W2.Pool253.Integrated.2.fq.bz2	11473417;13472179	fbe63205936db23658bdedda72f4359f;6ef82ed1dfc71ba53e7114d297a895f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/001/SRR5629091/SRR5629091_2.fastq.gz							30650446	9448a5dabdc33f1832f7f0f159ebdcce	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/001/SRR5629091	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/001/SRR5629091	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/001/SRR5629091				Longman.FMT.005.W2.Pool253.Integrated		Longman.FMT.005.W2.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173018	SRS2240018	SRX2869645	SRR5629092	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.003.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	86800	43400000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.003.W4.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.003.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.003.W4.Pool253.Integrated.1.fq.bz2	9512179;11321798	f318d5608861f282b4172aa4436976ae;eb322895c089c964f247094c7db830f8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/002/SRR5629092/SRR5629092_2.fastq.gz							25694019	2a8c443218140799446d0d2e3af107e8	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/002/SRR5629092	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/002/SRR5629092	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/002/SRR5629092				Longman.FMT.003.W4.Pool253.Integrated		Longman.FMT.003.W4.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173019	SRS2240017	SRX2869644	SRR5629093	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.010.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	97301	48650500	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.010.W4.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.010.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.010.W4.Pool253.Integrated.2.fq.bz2	10301594;12195111	bdf43a511284e4c568bcdcbb87918614;7086924f31d1c3bd29509c1c9dc554b9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/003/SRR5629093/SRR5629093_2.fastq.gz							28595988	68ac0617b5ea94bce08b1e605bc6ee00	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/003/SRR5629093	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/003/SRR5629093	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/003/SRR5629093				Longman.FMT.010.W4.Pool253.Integrated		Longman.FMT.010.W4.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173016	SRS2240016	SRX2869643	SRR5629094	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.007.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	96334	48167000	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.007.W4.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.007.W4.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.007.W4.Pool253.Integrated.1.fq.bz2	9832764;11733579	fd4d9b7b13eccd14eab28363b2f0ac74;576997880e54b26721edd4832e5b2076	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/004/SRR5629094/SRR5629094_2.fastq.gz							28010547	91e424fd1c9adf270e42aefb1cf582a4	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/004/SRR5629094	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/004/SRR5629094	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/004/SRR5629094				Longman.FMT.007.W4.Pool253.Integrated		Longman.FMT.007.W4.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07173017	SRS2240015	SRX2869642	SRR5629095	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.010.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	89193	44596500	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.010.W2.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.010.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.010.W2.Pool253.Integrated.2.fq.bz2	9286472;11288653	ac4a481b0ae6f3531717dbf1c7dd67b4;9af446cf73b5c7f4f525f53c9e1037af	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/005/SRR5629095/SRR5629095_2.fastq.gz							26288852	aff9a22e139d23bedf97f4d459c66af6	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/005/SRR5629095	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/005/SRR5629095	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/005/SRR5629095				Longman.FMT.010.W2.Pool253.Integrated		Longman.FMT.010.W2.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07172996	SRS2240014	SRX2869641	SRR5629096	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.001.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	103649	51824500	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.001.W2.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.001.W2.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.001.W2.Pool253.Integrated.1.fq.bz2	10963666;12699895	b9e516ae9fac684306234c6396ac806e;36a8ae8ee856760a6c8bc8cc7788a454	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/006/SRR5629096/SRR5629096_2.fastq.gz							30437581	e5058445394eb2427a58f70f22bb5e60	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/006/SRR5629096	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/006/SRR5629096	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/006/SRR5629096				Longman.FMT.001.W2.Pool253.Integrated		Longman.FMT.001.W2.Pool253.Integrated		2017-11-09
PRJNA388210	SRP108284	SAMN07172997	SRS2240013	SRX2869640	SRR5629097	SRA567729	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	Longman.FMT.003.Pre.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253		PAIRED	AMPLICON	METAGENOMIC	PCR	101271	50635500	SUB2717096	2017-11-09	2017-11-09	Illumina MiSeq sequencing; Longman.FMT.003.Pre.Pool253.Integrated	Fecal Microbiota Transplantation for Ulcerative Colitis	PRJNA388210	Longman.FMT.003.Pre.Pool253.Integrated.20160426151506_1_16SV4_Ayvaz-p253	Longman.FMT.003.Pre.Pool253.Integrated.1.fq.bz2	10725672;13259966	46fcce00518d50a2bfd79b1d1b6937bf;b12efe0fae3e489696ffbef3476c1d6a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR562/007/SRR5629097/SRR5629097_2.fastq.gz							29999822	8147b0e50babc34ca3bb3c08ded46853	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/007/SRR5629097	fasp.sra.ebi.ac.uk:/vol1/srr/SRR562/007/SRR5629097	ftp.sra.ebi.ac.uk/vol1/srr/SRR562/007/SRR5629097				Longman.FMT.003.Pre.Pool253.Integrated		Longman.FMT.003.Pre.Pool253.Integrated		2017-11-09
