study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB11841	ERP013257	SAMEA103936696	ERS1625864	ERX1961530	ERR1901159	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	89559	44937175	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:537-1	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:537-1	8415803;11859807	da2c8368b188a4106d9e28e2a88d06fd;d07e778b21b6c368f14152c1f9e2c834	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/009/ERR1901159/ERR1901159_2.fastq.gz	8653676;12167924	2f0acd5c5893cfc80dadc03da613aa3f;4241b2330ca30b88cd5166a82a8337bf	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/34_S35_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/34_S35_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/34_S35_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/34_S35_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/34_S35_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/34_S35_L001_R2_001.fastq.gz	FASTQ;FASTQ	25812472	558b311355090e22cf4cbd7148f88a30	ftp.sra.ebi.ac.uk/vol1/err/ERR190/009/ERR1901159	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/009/ERR1901159	ftp.sra.ebi.ac.uk/vol1/err/ERR190/009/ERR1901159				34		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936697	ERS1625865	ERX1961531	ERR1901160	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	50714	25434077	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-2	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-2	6920572;9672053	f7ec3be0fcdd4753b16705492d484679;20971f5fb61e0a46a66433bc616ad4da	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/000/ERR1901160/ERR1901160_2.fastq.gz	7083326;9868366	477d05a62dc62ed6184a17fc5d7e9620;6127e182381773b3b0dcf2add0649ca2	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/35_S36_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/35_S36_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/35_S36_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/35_S36_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/35_S36_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/35_S36_L001_R2_001.fastq.gz	FASTQ;FASTQ	18468064	c6573afac8fd01f1599eb80c9fd75625	ftp.sra.ebi.ac.uk/vol1/err/ERR190/000/ERR1901160	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/000/ERR1901160	ftp.sra.ebi.ac.uk/vol1/err/ERR190/000/ERR1901160				35		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936698	ERS1625866	ERX1961532	ERR1901161	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	122460	61437070	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-3	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-3	11997874;17404356	024ab06ffc23a75f843ef556a50dde27;342aa78c684e46fcbf7c4c1c997cb5bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/001/ERR1901161/ERR1901161_2.fastq.gz	12306283;17817001	ae9ec774906a17b8620a232b63e23440;9ee135171c3661a2ef1dfb9c954fa684	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/36_S37_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/36_S37_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/36_S37_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/36_S37_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/36_S37_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/36_S37_L001_R2_001.fastq.gz	FASTQ;FASTQ	36935069	31d5b5d698eefeb4355b6033931b9a80	ftp.sra.ebi.ac.uk/vol1/err/ERR190/001/ERR1901161	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/001/ERR1901161	ftp.sra.ebi.ac.uk/vol1/err/ERR190/001/ERR1901161				36		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936699	ERS1625867	ERX1961533	ERR1901162	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	109660	55024216	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-4	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-4	11541060;15145866	407c62fba65c7df59870557fe5eeaa44;ee6747f224b718c996c23e0a4fcfb62e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/002/ERR1901162/ERR1901162_2.fastq.gz	11828744;15524033	c433ed9e201bf6105fa81cf88618d0ed;10fff2c793c0152de9df7ef1ef623716	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/37_S38_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/37_S38_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/37_S38_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/37_S38_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/37_S38_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/37_S38_L001_R2_001.fastq.gz	FASTQ;FASTQ	32816560	35a5313451839259cf40aac9182bf771	ftp.sra.ebi.ac.uk/vol1/err/ERR190/002/ERR1901162	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/002/ERR1901162	ftp.sra.ebi.ac.uk/vol1/err/ERR190/002/ERR1901162				37		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936700	ERS1625868	ERX1961534	ERR1901163	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	103264	51819528	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-5	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-5	11001919;13834482	3e4ef23a08acf0dc5ac452426c0e48cb;02b484eac9eec691b691b9453df6d1d6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/003/ERR1901163/ERR1901163_2.fastq.gz	11274290;14186265	ae43cdf676f9cadd2fa73bff17e23bce;0fa42dbdcea8e8fc264cd85688126a76	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/38_S39_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/38_S39_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/38_S39_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/38_S39_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/38_S39_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/38_S39_L001_R2_001.fastq.gz	FASTQ;FASTQ	30911730	696e3c38473961da943ad76a4f9dbc2f	ftp.sra.ebi.ac.uk/vol1/err/ERR190/003/ERR1901163	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/003/ERR1901163	ftp.sra.ebi.ac.uk/vol1/err/ERR190/003/ERR1901163				38		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936701	ERS1625869	ERX1961535	ERR1901164	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	110033	55212128	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-6	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-6	11281821;15194667	e89e9e64ef85e73d612835847606d733;cdb7596790e5a7419b1d3b2821182751	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/004/ERR1901164/ERR1901164_2.fastq.gz	11570831;15572509	be6196603e907b43395ff4143ade115c;43e27bb0a6f1f36b24371c4c0a55df5d	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/39_S40_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/39_S40_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/39_S40_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/39_S40_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/39_S40_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/39_S40_L001_R2_001.fastq.gz	FASTQ;FASTQ	32944913	4b3de0a3ff3f3420e054649f950b8b74	ftp.sra.ebi.ac.uk/vol1/err/ERR190/004/ERR1901164	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/004/ERR1901164	ftp.sra.ebi.ac.uk/vol1/err/ERR190/004/ERR1901164				39		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936702	ERS1625870	ERX1961536	ERR1901165	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	77880	39079062	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-7	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-7	9130018;10728598	1c622e38800d23525f1ab3c4ebc97e1c;9c789ee938e6940d2b435df88c831631	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/005/ERR1901165/ERR1901165_2.fastq.gz	9363349;11009638	8e6babe993a947619a98f9f94ccef67d;fb798b49ba4da331ade352ff7d86a527	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/40_S41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/40_S41_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/40_S41_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/40_S41_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/40_S41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/40_S41_L001_R2_001.fastq.gz	FASTQ;FASTQ	24147263	61e385296952e83e5e733ef0c55bf27c	ftp.sra.ebi.ac.uk/vol1/err/ERR190/005/ERR1901165	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/005/ERR1901165	ftp.sra.ebi.ac.uk/vol1/err/ERR190/005/ERR1901165				40		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936703	ERS1625871	ERX1961537	ERR1901166	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	104838	52606171	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-8	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-8	11858216;14832528	8211eec8a23f4e4e0924e84988da6c8c;023bc65a935116d20518f0c93d97b401	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/006/ERR1901166/ERR1901166_2.fastq.gz	12148361;15199505	86f8b1f330b61b811674772ef2a75c23;1e52410c3b0c9e70d8ac141913b5e3ea	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/41_S42_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/41_S42_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/41_S42_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/41_S42_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/41_S42_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/41_S42_L001_R2_001.fastq.gz	FASTQ;FASTQ	32138636	5b24bdabee185683e6bbd0e45c21321d	ftp.sra.ebi.ac.uk/vol1/err/ERR190/006/ERR1901166	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/006/ERR1901166	ftp.sra.ebi.ac.uk/vol1/err/ERR190/006/ERR1901166				41		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936704	ERS1625872	ERX1961538	ERR1901167	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	107158	53767964	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-9	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-9	11616498;14817076	f80b0c2adbc26803528a111242c9291b;f8c57177ba6e9fb7d9c61ca84811d0b1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/007/ERR1901167/ERR1901167_2.fastq.gz	11912685;15187796	4ecd275ca7e47ad0032fb9634bb4c2b3;ac04f5f0d029ec41eafb44cbadf72b92	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/43_S44_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/43_S44_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/43_S44_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/43_S44_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/43_S44_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/43_S44_L001_R2_001.fastq.gz	FASTQ;FASTQ	31830613	672f372c1a43e294de545d9368ea0221	ftp.sra.ebi.ac.uk/vol1/err/ERR190/007/ERR1901167	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/007/ERR1901167	ftp.sra.ebi.ac.uk/vol1/err/ERR190/007/ERR1901167				43		UC-FMT-study	0	2017-03-28
PRJEB11841	ERP013257	SAMEA103936705	ERS1625873	ERX1961539	ERR1901168	ERA863107	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	122540	61478527	MEDICAL UNIVERSITY GRAZ	2017-03-28	2017-12-06	Illumina MiSeq paired end sequencing	The taxonomic composition of the donor intestinal microbiota is a major factor influencing the efficacy of faecal microbiota transplantation in therapy refractory ulcerative colitis.	ena-STUDY-MEDICAL UNIVERSITY GRAZ-23-11-2015-09:15:45:835-315	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-10	ena-RUN-MEDICAL UNIVERSITY GRAZ-28-03-2017-12:22:02:538-10	13007514;16669116	df1aedd77482bf7b05fbfdd8f281a919;ecd36df7ff7519b4b2451fa538c6a847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/008/ERR1901168/ERR1901168_2.fastq.gz	13325745;17079458	7bd2d2ae525e13266092d06513dc4bd4;6b74195da113676803e3d62dcc2054c4	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/44_S45_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/44_S45_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/44_S45_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/ERA863/ERA863107/fastq/44_S45_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/44_S45_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA863/ERA863107/fastq/44_S45_L001_R2_001.fastq.gz	FASTQ;FASTQ	37168842	86a4d012ac278d31722a2c85f05bf88e	ftp.sra.ebi.ac.uk/vol1/err/ERR190/008/ERR1901168	fasp.sra.ebi.ac.uk:/vol1/err/ERR190/008/ERR1901168	ftp.sra.ebi.ac.uk/vol1/err/ERR190/008/ERR1901168				44		UC-FMT-study	0	2017-03-28
